sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,14,,良好,0.3,0.1,13.4,15.9,11,0,2.5,3.6,1.1,1.7,62,2024-05-21 08:00,,0,0.5,7,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,63,細懸浮微粒,普通,0.8,0.45,11.9,4.5,52,30,18.9,24.9,5.9,0.3,29,2024-05-21 08:00,,0.3,20.3,33,0,120.65525382,24.39017512,312
新北(樹林),新北市,22,,良好,0.3,0.33,4.4,11.3,11,3,13.7,23.1,9.4,0.2,294,2024-05-21 08:00,,0.1,4.8,6,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,78,細懸浮微粒,普通,0.6,0.27,9.7,20.3,23,16,7.6,9.8,2.2,0.7,358,2024-05-21 08:00,,0.2,26.4,36,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,52,細懸浮微粒,普通,0.8,0.41,2.9,14.6,22,10,11.9,29.1,17.1,0.2,118,2024-05-21 08:00,,0.2,16,27,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,70,細懸浮微粒,普通,0.3,0.28,5.9,18.1,15,14,10.7,16.3,5.6,1.7,74,2024-05-21 08:00,,0.3,23.3,31,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,86,細懸浮微粒,普通,1.9,0.59,10.8,18.4,46,31,18.1,24.6,6.5,1,4,2024-05-21 08:00,,0.3,29.6,40,2,120.56373,23.96117,201
大城,彰化縣,49,,良好,0.8,0.13,17.8,17.4,18,13,3.7,4.8,1.1,1.1,41,2024-05-21 08:00,,0.1,15.1,28,1,120.26964167,23.85493056,85
富貴角,新北市,34,,良好,0.1,0.08,37.2,37.9,7,1,2.7,3.2,0.4,6.4,41,2024-05-21 08:00,,0,0.5,9,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,1.7,0.25,10.6,20.4,14,6,7.8,13.2,5.3,1.4,28,2024-05-21 08:00,,0.2,13.7,25,1,120.251825,23.753506,83
關山,臺東縣,12,,良好,0.3,0.16,11.4,13.3,14,3,3.6,6.2,2.6,0.6,125,2024-05-21 08:00,,0.1,3.8,12,0,121.161933,23.045083,80
馬公,澎湖縣,30,,良好,0.8,0.4,42.2,32.8,27,18,7.7,8.9,1.1,0.4,67,2024-05-21 08:00,,0.1,7.2,13,0,119.566158,23.569031,78
金門,金門縣,32,,良好,0.8,0.24,35,35.9,7,6,4.3,5.1,0.7,2.5,67,2024-05-21 08:00,,0.2,5,3,0,118.312256,24.432133,77
馬祖,連江縣,44,,良好,0.6,0.13,45.5,47.3,14,4,3,3.7,0.7,2.3,334,2024-05-21 08:00,,0.1,3.2,9,0,119.93149378,26.15188416,75
埔里,南投縣,75,細懸浮微粒,普通,1.4,0.38,16.7,18.6,33,27,6.3,8.3,2,1.5,282,2024-05-21 08:00,,0.3,25.4,31,1,120.967903,23.968842,72
復興,高雄市,67,細懸浮微粒,普通,0.5,0.72,8.8,22.9,20,11,15.2,25.6,10.4,0.8,112,2024-05-21 08:00,,0.4,21.9,32,1,120.312017,22.608711,71
永和,新北市,32,,良好,1.4,1.95,7.4,21.7,19,5,19,49.7,30.7,0.6,337,2024-05-21 08:00,,0.4,2.5,4,1,121.516306,25.017,70
竹山,南投縣,61,細懸浮微粒,普通,0.7,0.3,8.4,9.5,24,21,11.4,14.9,3.4,0.8,338,2024-05-21 08:00,,0.2,19.6,29,0,120.677306,23.756389,69
中壢,桃園市,43,,良好,0.8,1.35,2.9,16.7,15,8,26.5,81.7,55.2,0.3,344,2024-05-21 08:00,,0.5,5.5,10,1,121.221667,24.953278,68
三重,新北市,37,,良好,1.3,0.91,9.2,18.7,9,2,22.9,65.7,42.8,-,-,2024-05-21 08:00,,0.3,1.9,7,1,121.493806,25.072611,67
冬山,宜蘭縣,18,,良好,0,0.31,8.4,19.3,26,5,11,21.3,10.3,0.9,38,2024-05-21 08:00,,0.1,3,9,0,121.792928,24.632203,66
宜蘭,宜蘭縣,19,,良好,1,0.21,11.6,20.0,5,4,4.1,6.1,2,0.3,122,2024-05-21 08:00,,0.1,1.6,2,1,121.746394,24.747917,65
陽明,臺北市,29,,良好,0.7,0.13,20.2,31.5,0,2,0.9,1.6,0.6,2,360,2024-05-21 08:00,,0.1,0.7,1,0,121.529583,25.182722,64
花蓮,花蓮縣,23,,良好,0.7,0.2,13.7,13.1,13,6,3.5,3.8,0.3,1.8,204,2024-05-21 08:00,,0.1,7,9,0,121.599769,23.971306,63
臺東,臺東縣,19,,良好,0.5,0.15,25.9,20,12,0,3.7,4,0.3,0.2,282,2024-05-21 08:00,,0.1,1.7,8,0,121.15045,22.755358,62
恆春,屏東縣,24,,良好,,0.11,23.1,26.2,7,4,1,1.8,0.7,3.7,25,2024-05-21 08:00,,0.1,2.5,5,0,120.788928,21.958069,61
潮州,屏東縣,51,細懸浮微粒,普通,0.4,0.16,4.3,3.6,15,10,5.7,8.6,2.9,1.3,65,2024-05-21 08:00,,0.1,15.7,28,1,120.561175,22.523108,60
屏東,屏東縣,69,細懸浮微粒,普通,0.4,0.39,4.9,16.8,23,10,8.3,13.6,5.3,1,31,2024-05-21 08:00,,0.2,22.8,37,1,120.488033,22.673081,59
小港,高雄市,81,細懸浮微粒,普通,0.6,0.47,5,20.3,16,20,16.1,26.4,10.3,0.7,51,2024-05-21 08:00,,0.3,27.5,34,2,120.337736,22.565833,58
前鎮,高雄市,66,細懸浮微粒,普通,0.9,0.74,6.5,20.0,21,13,16.9,27.5,10.6,0.2,23,2024-05-21 08:00,,0.4,21.5,37,2,120.30833356,22.6044507,57
前金,高雄市,71,細懸浮微粒,普通,0.5,0.48,12.6,20.4,20,10,10.9,14.4,3.5,1,341,2024-05-21 08:00,,0.4,23.5,41,1,120.28676111,22.63390278,56
左營,高雄市,79,細懸浮微粒,普通,1.1,0.49,7.1,19.0,17,15,16.4,22.9,6.5,1,121,2024-05-21 08:00,,0.3,26.9,37,1,120.292917,22.674861,54
楠梓,高雄市,59,細懸浮微粒,普通,1.1,0.43,3,17.1,24,8,15.9,29.9,13.9,0.8,52,2024-05-21 08:00,,0.3,18.9,32,1,120.328289,22.733667,53
林園,高雄市,91,細懸浮微粒,普通,0.3,0.28,10.6,12.6,30,17,6.5,8.2,1.6,1.1,30,2024-05-21 08:00,,0.4,31.8,60,1,120.41175,22.4795,52
大寮,高雄市,94,細懸浮微粒,普通,1.1,0.33,5.6,12.7,31,20,12.9,17.3,4.4,0.8,61,2024-05-21 08:00,,0.3,33,51,2,120.425311,22.56413611,51
鳳山,高雄市,65,細懸浮微粒,普通,1.2,0.49,8,22.2,23,7,8.7,12.3,3.5,0.5,77,2024-05-21 08:00,,0.3,21.1,37,2,120.357422,22.628126,50
仁武,高雄市,71,細懸浮微粒,普通,1.2,0.33,7,24.4,17,14,12.7,19.4,6.7,0.3,124,2024-05-21 08:00,,0.2,23.7,31,1,120.332631,22.689056,49
橋頭,高雄市,70,細懸浮微粒,普通,0.8,0.31,7.3,19.4,18,11,9.9,14.5,4.6,1.1,68,2024-05-21 08:00,,0.2,23.1,34,2,120.305689,22.757506,48
美濃,高雄市,41,,良好,0.9,0.2,9.3,17.4,8,7,4.2,5.7,1.5,0.3,32,2024-05-21 08:00,,0.2,12.7,18,1,120.530542,22.883583,47
臺南,臺南市,67,細懸浮微粒,普通,0.6,0.44,8.7,26.2,21,13,11.8,16.8,5,0.2,115,2024-05-21 08:00,,0.3,21.9,31,1,120.21947897,22.98928311,46
安南,臺南市,62,細懸浮微粒,普通,0.4,0.51,5.9,21.9,21,16,12.4,22.5,10.1,1.6,84,2024-05-21 08:00,,0.3,20.1,33,1,120.2175,23.048197,45
善化,臺南市,58,細懸浮微粒,普通,0.5,0.19,10,18.4,21,13,5.5,7.7,2.1,0.4,123,2024-05-21 08:00,,0.2,18.5,31,1,120.29740529,23.11337642,44
新營,臺南市,42,,良好,0.9,0.31,9.5,17.9,20,12,8,12.3,4.3,0.3,61,2024-05-21 08:00,,0.2,12.9,28,1,120.31725,23.305633,43
嘉義,嘉義市,57,細懸浮微粒,普通,1.1,0.37,12.6,16.6,21,18,8.1,9.5,1.4,1.9,64,2024-05-21 08:00,,0.2,17.9,26,1,120.44125148,23.46477865,42
臺西,雲林縣,42,,良好,1,0.23,9.9,18.4,24,13,8.5,10.9,2.3,1.3,36,2024-05-21 08:00,,0.2,13,29,1,120.19933333,23.702175,41
朴子,嘉義縣,60,細懸浮微粒,普通,0.7,0.19,7.8,14.3,16,12,8.3,11.5,3.1,1.1,340,2024-05-21 08:00,,0.2,19,27,1,120.2478,23.46538,40
新港,嘉義縣,58,細懸浮微粒,普通,1.8,0.37,11.2,17.5,24,20,9.8,13.2,3.4,1.7,18,2024-05-21 08:00,,0.2,18.4,29,2,120.345531,23.554839,39
崙背,雲林縣,62,細懸浮微粒,普通,0.7,0.29,8.1,12.4,37,18,6.7,9.5,2.7,0.8,16,2024-05-21 08:00,,0.2,19.8,37,1,120.348742,23.757547,38
斗六,雲林縣,69,細懸浮微粒,普通,1.1,0.38,9.1,14.4,38,28,13.3,17.1,3.7,0.4,46,2024-05-21 08:00,,0.2,22.8,35,1,120.544994,23.711853,37
南投,南投縣,59,細懸浮微粒,普通,0.1,0.39,8.4,8.6,33,17,9.2,11.2,1.9,0.2,297,2024-05-21 08:00,,0.2,18.7,33,0,120.685306,23.913,36
二林,彰化縣,86,細懸浮微粒,普通,1.1,0.34,6.1,6.8,47,34,9.1,13.3,4.1,0.9,44,2024-05-21 08:00,,0.3,29.9,42,1,120.409653,23.925175,35
線西,彰化縣,76,細懸浮微粒,普通,1.2,0.37,13.8,18,43,28,10,12.8,2.8,0.7,17,2024-05-21 08:00,,0.2,25.6,46,1,120.469061,24.131672,34
彰化,彰化縣,76,細懸浮微粒,普通,1.3,0.4,25,15.9,37,32,11.4,12.6,1.2,0.6,143,2024-05-21 08:00,,0.3,25.8,38,1,120.541519,24.066,33
西屯,臺中市,71,細懸浮微粒,普通,0.7,0.35,18.5,19.6,35,21,12.4,14.8,2.4,0.5,240,2024-05-21 08:00,,0.3,23.5,36,1,120.616917,24.162197,32
忠明,臺中市,64,細懸浮微粒,普通,1.3,0.44,15.6,23.4,33,18,11.5,14.7,3.2,0.3,16,2024-05-21 08:00,,0.3,20.8,32,1,120.641092,24.151958,31
大里,臺中市,73,細懸浮微粒,普通,1.1,0.53,6.3,13.0,35,24,14.2,20.8,6.5,0.4,286,2024-05-21 08:00,,0.3,24.6,32,1,120.67844444,24.09961111,30
沙鹿,臺中市,89,細懸浮微粒,普通,1.4,0.51,15,17.7,58,40,17.5,20.4,2.8,0.8,7,2024-05-21 08:00,,0.3,30.8,47,1,120.568794,24.225628,29
豐原,臺中市,84,細懸浮微粒,普通,0.7,0.44,24.8,22.8,44,28,10.9,13.3,2.4,1.4,216,2024-05-21 08:00,,0.3,28.8,43,1,120.74252414,24.25699731,28
三義,苗栗縣,79,細懸浮微粒,普通,1.2,0.45,14.6,13.1,42,31,12.1,17.4,5.3,0.3,12,2024-05-21 08:00,,0.4,26.8,38,1,120.75956754,24.38248443,27
苗栗,苗栗縣,42,,良好,2.4,0.31,6.8,6.6,14,17,12.3,17.3,5,0.4,109,2024-05-21 08:00,,0.2,12.8,14,2,120.82011468,24.56499183,26
頭份,苗栗縣,27,,良好,1.1,0.3,7.1,11.0,10,12,13.8,21.1,7.3,1,153,2024-05-21 08:00,,0.2,8.2,13,1,120.89869286,24.69690679,25
新竹,新竹市,23,,良好,0.6,0.4,10.7,18.8,3,8,14.8,17.7,2.8,0.9,174,2024-05-21 08:00,,0.1,2.8,2,0,120.97236752,24.8056356,24
竹東,新竹縣,23,,良好,0.7,0.33,6,10.0,12,8,6,11,4.9,0.2,219,2024-05-21 08:00,,0.1,7.1,8,0,121.08895493,24.74091408,23
湖口,新竹縣,29,,良好,0,0.26,16.3,20.6,5,17,9.8,11.7,1.9,1,293,2024-05-21 08:00,,0.1,9,4,0,121.03886894,24.90009696,22
龍潭,桃園市,17,,良好,1,0.26,9.5,18.6,7,3,9.8,13.1,3.3,1.3,246,2024-05-21 08:00,,0.1,1.5,5,0,121.21645772,24.86400048,21
平鎮,桃園市,32,,良好,0.8,0.28,5.8,20.0,13,7,19.6,26.1,6.4,0.9,267,2024-05-21 08:00,,0.1,1.6,6,0,121.203986,24.952786,20
觀音,桃園市,23,,良好,0.5,0.17,20.9,25.3,8,6,10.9,13.6,2.7,2.1,54,2024-05-21 08:00,,0.1,7.1,10,0,121.08283092,25.03556747,19
大園,桃園市,23,,良好,0.5,0.2,16.5,23.0,12,5,14.6,17.1,2.4,1.1,1,2024-05-21 08:00,,0.1,2.3,7,1,121.20251473,25.06100357,18
桃園,桃園市,22,,良好,1.4,0.29,13.2,24.4,4,1,13.5,15,1.5,1,248,2024-05-21 08:00,,0.1,3.3,3,1,121.30500531,24.9947107,17
大同,臺北市,47,,良好,1.5,2.05,4.6,18.7,21,14,28.7,92.6,63.8,-,-,2024-05-21 08:00,,0.6,8.3,11,1,121.51342074,25.06331455,16
松山,臺北市,27,,良好,0.4,0.32,13.2,23.5,3,8,16.9,26.9,9.9,0.5,219,2024-05-21 08:00,,0.1,5.5,3,0,121.578611,25.05,15
古亭,臺北市,22,,良好,1,0.26,17.3,24.3,3,0,7.7,9.6,1.8,0.2,115,2024-05-21 08:00,,0.1,1.2,1,1,121.529556,25.020608,14
萬華,臺北市,24,,良好,0.6,0.29,17.6,26.2,4,5,12.6,16,3.3,0.4,62,2024-05-21 08:00,,0.1,3.5,3,0,121.507972,25.046503,13
中山,臺北市,23,,良好,0.8,0.33,18,25.2,7,2,11.6,15.9,4.3,1.4,345,2024-05-21 08:00,,0.1,1.9,4,1,121.526528,25.062361,12
士林,臺北市,18,,良好,0.2,0.23,14.2,20.0,8,8,11.2,14.2,3,1.6,330,2024-05-21 08:00,,0.1,3.4,4,0,121.51666356,25.10334003,11
淡水,新北市,22,,良好,1.3,0.19,13.8,14.8,13,5,13.7,17.6,3.8,0.5,290,2024-05-21 08:00,,0.2,3.7,6,0,121.449239,25.1645,10
林口,新北市,25,,良好,0.7,0.26,13.6,23.2,5,2,15.5,24.2,8.6,0.7,332,2024-05-21 08:00,,0.1,2.4,1,0,121.36548982,25.07798949,9
菜寮,新北市,22,,良好,1.3,0.41,17.1,24.2,9,1,13.4,17.1,3.7,0.3,147,2024-05-21 08:00,,0.2,1.5,6,1,121.481028,25.06895,8
新莊,新北市,24,,良好,0.1,0.34,17.2,26.0,5,3,10.8,14.2,3.3,0.7,67,2024-05-21 08:00,,0.1,4,1,0,121.4325,25.037972,7
板橋,新北市,23,,良好,0.8,0.46,8.7,23.2,7,1,14.5,20.7,6.2,0.4,255,2024-05-21 08:00,,0.2,1.4,2,0,121.458667,25.012972,6
土城,新北市,20,,良好,0.5,0.31,6.9,17.1,11,7,12.1,20,7.8,0.3,27,2024-05-21 08:00,,0.1,4.2,7,0,121.451861,24.982528,5
新店,新北市,13,,良好,0.6,0.3,6.3,14.8,13,3,6,13.8,7.7,0.4,320,2024-05-21 08:00,,0.1,4,7,1,121.537778,24.977222,4
萬里,新北市,31,,良好,0.4,0.14,27,33.2,35,3,5,6.7,1.7,4.3,27,2024-05-21 08:00,,0.1,1.2,22,0,121.689881,25.179667,3
汐止,新北市,32,,良好,0.2,0.48,7.1,22.1,4,1,19.7,31.5,11.7,0.7,256,2024-05-21 08:00,,0.1,1.5,5,0,121.64081,25.06624,2
基隆,基隆市,26,,良好,0.3,0.2,16.8,28.2,6,3,10.9,13.5,2.6,0.7,317,2024-05-21 08:00,,0.1,0.6,6,0,121.760056,25.129167,1
屏東(枋山),屏東縣,16,,良好,0.2,0.09,14,17,6,0,2.2,2.9,0.7,3.8,90,2024-05-21 07:00,,0,1.2,7,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,56,細懸浮微粒,普通,0.2,0.4,5.1,4.2,40,27,16.6,29.3,12.7,0.4,66,2024-05-21 07:00,,0.3,17.5,30,0,120.65525382,24.39017512,312
新北(樹林),新北市,18,,良好,0.3,0.27,3.6,12.8,8,6,11.9,22.3,10.4,0,64,2024-05-21 07:00,,0.1,5,5,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,84,細懸浮微粒,普通,0.5,0.19,12.6,24.2,15,17,5.6,5.9,0.3,1.2,350,2024-05-21 07:00,,0.3,29.1,40,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,60,細懸浮微粒,普通,0.8,0.27,5.1,17.6,22,12,8.2,13.2,5,0.2,116,2024-05-21 07:00,,0.2,19,30,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,77,細懸浮微粒,普通,0.3,0.24,7.4,22.6,16,11,11.4,13.9,2.5,1.3,68,2024-05-21 07:00,,0.3,25.9,36,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,85,細懸浮微粒,普通,1.7,0.46,12,20.5,34,30,11.4,13.3,1.9,0.4,10,2024-05-21 07:00,,0.3,29.2,39,2,120.56373,23.96117,201
大城,彰化縣,51,細懸浮微粒,普通,0.8,0.17,18.8,19.0,32,20,6.2,7.1,0.9,0.4,165,2024-05-21 07:00,,0.1,15.5,30,1,120.26964167,23.85493056,85
富貴角,新北市,35,,良好,0.1,0.07,33.6,38.4,8,0,0.7,0.8,0.1,4,54,2024-05-21 07:00,,0,0.4,10,0,121.53656894,25.29681695,84
麥寮,雲林縣,51,細懸浮微粒,普通,1.8,0.27,14.3,21.4,20,17,7.3,8.5,1.2,0.7,147,2024-05-21 07:00,,0.2,15.7,28,0,120.251825,23.753506,83
關山,臺東縣,14,,良好,0.2,0.15,7.8,15.0,13,3,3.7,5.4,1.7,1.2,70,2024-05-21 07:00,,0.1,3.9,11,0,121.161933,23.045083,80
馬公,澎湖縣,29,,良好,0.8,0.23,39.1,31.8,13,10,4.4,5.2,0.7,1.5,50,2024-05-21 07:00,,0.1,4.6,10,0,119.566158,23.569031,78
金門,金門縣,32,,良好,0.6,0.2,36.2,36.0,5,7,3,3.6,0.5,2.1,83,2024-05-21 07:00,,0.2,4.8,3,0,118.312256,24.432133,77
馬祖,連江縣,44,,良好,0.6,0.12,45,47.6,10,3,3,3.7,0.6,2.2,328,2024-05-21 07:00,,0.1,3.1,9,0,119.93149378,26.15188416,75
埔里,南投縣,76,細懸浮微粒,普通,1.3,0.36,14.3,20.2,31,26,6.2,7.9,1.7,0.8,171,2024-05-21 07:00,,0.3,25.5,30,1,120.967903,23.968842,72
復興,高雄市,75,細懸浮微粒,普通,0.3,0.41,15,26.6,17,8,11.3,14.1,2.7,1,126,2024-05-21 07:00,,0.3,25.1,37,1,120.312017,22.608711,71
永和,新北市,21,,良好,1.2,0.6,13,23.9,6,3,12.1,19.8,7.6,0.2,58,2024-05-21 07:00,,0.2,2.1,2,1,121.516306,25.017,70
竹山,南投縣,61,細懸浮微粒,普通,0.6,0.26,6.4,10.3,28,20,8.6,10.6,1.9,1.6,52,2024-05-21 07:00,,0.2,19.4,30,0,120.677306,23.756389,69
中壢,桃園市,38,,良好,0.8,1.19,5.8,19.2,15,11,23.8,78.1,54.2,0.2,194,2024-05-21 07:00,,0.4,5.5,9,2,121.221667,24.953278,68
三重,新北市,30,,良好,1.1,0.62,11.5,20.0,16,2,18.2,46.3,28,-,-,2024-05-21 07:00,,0.3,2,6,1,121.493806,25.072611,67
冬山,宜蘭縣,19,,良好,0,0.19,12,21.4,12,3,6.9,8.6,1.6,0.4,34,2024-05-21 07:00,,0.1,2.5,5,0,121.792928,24.632203,66
宜蘭,宜蘭縣,19,,良好,1.2,0.16,12.3,21.6,5,1,3.4,4.3,0.8,0.2,172,2024-05-21 07:00,,0.1,1.3,2,1,121.746394,24.747917,65
陽明,臺北市,31,,良好,0.7,0.12,28,33.3,1,1,0.6,1.2,0.5,0.9,270,2024-05-21 07:00,,0.1,0.4,1,0,121.529583,25.182722,64
花蓮,花蓮縣,22,,良好,0.7,0.18,11.3,13.1,6,9,3.4,3.6,0.1,2.2,216,2024-05-21 07:00,,0.1,6.7,9,0,121.599769,23.971306,63
臺東,臺東縣,18,,良好,0.2,0.15,19.7,19.7,10,1,3.6,3.9,0.3,0.2,335,2024-05-21 07:00,,0.1,2.1,7,0,121.15045,22.755358,62
恆春,屏東縣,25,,良好,,0.11,22.6,27.2,5,3,1.2,2,0.7,3.8,39,2024-05-21 07:00,,0.1,2.2,4,0,120.788928,21.958069,61
潮州,屏東縣,55,細懸浮微粒,普通,0.5,0.16,2.1,4.5,22,10,6,8.4,2.4,0.4,32,2024-05-21 07:00,,0.1,17.1,32,1,120.561175,22.523108,60
屏東,屏東縣,77,細懸浮微粒,普通,0.2,0.25,7.7,21.1,28,12,6.7,8.4,1.6,1.8,22,2024-05-21 07:00,,0.3,26.2,40,1,120.488033,22.673081,59
小港,高雄市,87,細懸浮微粒,普通,0.3,0.31,10.3,23.6,21,14,13.5,16,2.5,0.7,70,2024-05-21 07:00,,0.3,30.2,39,2,120.337736,22.565833,58
前鎮,高雄市,71,細懸浮微粒,普通,0.8,0.4,10.8,23.7,18,12,14.3,17.8,3.4,0.2,340,2024-05-21 07:00,,0.3,23.6,42,2,120.30833356,22.6044507,57
前金,高雄市,79,細懸浮微粒,普通,0.5,0.31,15.3,24.0,16,10,7.2,8.7,1.5,0.9,13,2024-05-21 07:00,,0.4,26.8,46,1,120.28676111,22.63390278,56
左營,高雄市,85,細懸浮微粒,普通,0.6,0.39,7.1,23.1,21,17,13.6,16.6,3,0.3,358,2024-05-21 07:00,,0.3,29.4,42,1,120.292917,22.674861,54
楠梓,高雄市,67,細懸浮微粒,普通,1.1,0.27,4.1,21.6,16,7,17.2,23.9,6.6,0.2,61,2024-05-21 07:00,,0.3,22.1,34,2,120.328289,22.733667,53
林園,高雄市,102,細懸浮微粒,對敏感族群不健康,0.2,0.26,8,14.3,35,21,6.9,8,1,1.7,19,2024-05-21 07:00,,0.4,36,67,1,120.41175,22.4795,52
大寮,高雄市,103,細懸浮微粒,對敏感族群不健康,1.2,0.3,4.4,15.6,26,22,16.3,20.8,4.5,1.3,52,2024-05-21 07:00,,0.3,36.2,56,2,120.425311,22.56413611,51
鳳山,高雄市,73,細懸浮微粒,普通,1.3,0.31,14.4,24.8,17,12,6.9,8.2,1.2,0.4,70,2024-05-21 07:00,,0.3,24.3,40,2,120.357422,22.628126,50
仁武,高雄市,77,細懸浮微粒,普通,0.7,0.24,14.6,29.1,14,15,7.9,10.1,2.1,0.9,55,2024-05-21 07:00,,0.3,26,35,1,120.332631,22.689056,49
橋頭,高雄市,76,細懸浮微粒,普通,1.1,0.24,7.7,22.7,24,16,9.6,11.6,1.9,1.9,61,2024-05-21 07:00,,0.2,25.8,37,2,120.305689,22.757506,48
美濃,高雄市,48,,良好,0.8,0.18,10.2,19.8,8,7,4.2,4.9,0.6,0.4,46,2024-05-21 07:00,,0.2,14.7,21,1,120.530542,22.883583,47
臺南,臺南市,72,細懸浮微粒,普通,0.4,0.22,11.3,32.5,17,15,7.9,8.9,0.9,0.2,96,2024-05-21 07:00,,0.3,24.2,32,1,120.21947897,22.98928311,46
安南,臺南市,67,細懸浮微粒,普通,0.2,0.25,9,26.0,21,12,8.3,10.8,2.5,1,93,2024-05-21 07:00,,0.3,22,35,1,120.2175,23.048197,45
善化,臺南市,63,細懸浮微粒,普通,0.9,0.15,12.1,20.8,18,13,4.4,5.2,0.8,0.6,130,2024-05-21 07:00,,0.2,20.4,34,1,120.29740529,23.11337642,44
新營,臺南市,48,,良好,0.9,0.19,11.1,19.6,14,7,4.8,7.2,2.4,0.3,68,2024-05-21 07:00,,0.2,14.8,31,1,120.31725,23.305633,43
嘉義,嘉義市,61,細懸浮微粒,普通,0.9,0.25,14.6,18.7,20,17,4.9,5.6,0.7,0.8,81,2024-05-21 07:00,,0.2,19.4,30,1,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,1.1,0.21,12.9,19.6,21,11,8,9.5,1.5,1,92,2024-05-21 07:00,,0.2,13.3,30,1,120.19933333,23.702175,41
朴子,嘉義縣,64,細懸浮微粒,普通,0.8,0.18,11.3,16.2,17,17,6.8,9,2.1,0.4,323,2024-05-21 07:00,,0.2,20.9,31,1,120.2478,23.46538,40
新港,嘉義縣,60,細懸浮微粒,普通,1.7,0.23,14,19.9,21,10,5.8,7.2,1.4,0.5,353,2024-05-21 07:00,,0.2,19.2,32,2,120.345531,23.554839,39
崙背,雲林縣,63,細懸浮微粒,普通,0.9,0.18,13.8,13.4,18,11,3.3,5,1.7,0.7,74,2024-05-21 07:00,,0.2,20.2,37,1,120.348742,23.757547,38
斗六,雲林縣,65,細懸浮微粒,普通,0.9,0.31,12,16.0,39,23,9,10.4,1.3,1.2,13,2024-05-21 07:00,,0.2,21.2,34,1,120.544994,23.711853,37
南投,南投縣,60,細懸浮微粒,普通,0.3,0.29,5.8,9.3,37,19,7.9,9.6,1.7,0.9,154,2024-05-21 07:00,,0.2,19,33,0,120.685306,23.913,36
二林,彰化縣,83,細懸浮微粒,普通,1.7,0.32,5.1,7.9,47,37,9.2,12.1,2.8,1.2,51,2024-05-21 07:00,,0.2,28.4,40,2,120.409653,23.925175,35
線西,彰化縣,75,細懸浮微粒,普通,1.1,0.3,15.6,18.8,49,28,8,9.9,1.8,1.1,189,2024-05-21 07:00,,0.2,25.3,47,1,120.469061,24.131672,34
彰化,彰化縣,73,細懸浮微粒,普通,0.9,0.39,10,15.0,38,32,12.5,13.9,1.4,0.3,139,2024-05-21 07:00,,0.2,24.5,38,1,120.541519,24.066,33
西屯,臺中市,72,細懸浮微粒,普通,0.7,0.31,10.7,20.2,35,22,14.9,17.3,2.3,0.8,219,2024-05-21 07:00,,0.3,24.2,37,1,120.616917,24.162197,32
忠明,臺中市,65,細懸浮微粒,普通,1.4,0.34,15.8,25.4,33,20,8.4,10.6,2.1,0.3,323,2024-05-21 07:00,,0.3,21.2,32,1,120.641092,24.151958,31
大里,臺中市,73,細懸浮微粒,普通,0.8,0.37,5.3,15.2,27,22,12.4,15.1,2.7,0.4,275,2024-05-21 07:00,,0.3,24.5,32,1,120.67844444,24.09961111,30
沙鹿,臺中市,82,細懸浮微粒,普通,1.5,0.41,11.2,17.3,47,39,15.9,17.1,1.1,0.7,258,2024-05-21 07:00,,0.3,28,44,1,120.568794,24.225628,29
豐原,臺中市,83,細懸浮微粒,普通,0.6,0.4,11.3,22.2,39,28,12.4,14.3,1.9,0.7,223,2024-05-21 07:00,,0.3,28.5,43,1,120.74252414,24.25699731,28
三義,苗栗縣,77,細懸浮微粒,普通,1.2,0.39,5,14.5,33,26,10.9,16,5.1,0.3,6,2024-05-21 07:00,,0.4,25.9,37,1,120.75956754,24.38248443,27
苗栗,苗栗縣,38,,良好,1.4,0.22,8.9,6.4,10,17,9.3,11.4,2.1,0.7,143,2024-05-21 07:00,,0.2,11.8,14,2,120.82011468,24.56499183,26
頭份,苗栗縣,25,,良好,0.8,0.24,8.8,11.9,12,6,11.1,14.7,3.5,0.4,95,2024-05-21 07:00,,0.2,7.7,14,1,120.89869286,24.69690679,25
新竹,新竹市,19,,良好,0.5,0.23,13.3,20.3,3,4,10.8,11.5,0.7,0.6,191,2024-05-21 07:00,,0.1,2.1,1,0,120.97236752,24.8056356,24
竹東,新竹縣,23,,良好,0.4,0.22,2,11.0,8,7,6.6,10.4,3.7,0.7,94,2024-05-21 07:00,,0.1,7.1,7,0,121.08895493,24.74091408,23
湖口,新竹縣,23,,良好,0.2,0.22,16.2,21.9,4,11,8.5,9.7,1.1,1.4,59,2024-05-21 07:00,,0.1,7.1,4,0,121.03886894,24.90009696,22
